,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship_beforesplit,relationship1,relationship2,relationship3,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_14,target_15,target_16,target_17,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,transportation1,transportation2,transportation3,reason1,reason2,reason3,accommodation_1,accommodation_2,accommodation_3,accommodation_4,accommodation_5,accommodation_6,accommodation_7,accommodation_8,accommodation_9,accommodation_10,accommodation_11,accommodation_12,accommodation_13,accommodation_14
3645,2018.0,32070,1,1,1,4.0,0.0,92452.83018867925,,4.0,2,50,12,26,"1,2,6",1,"8,1,2",1,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,32070,,,,,,,,,,,1,,,8,1,2,1.0,,,,,,,,,,,,,
3646,2018.0,21090,1,0,0,3.0,1.0,70000.0,,5.0,1,58,12,26,"1,2",1,"8,2,1",1,1.0,,,1.0,1.0,,,,,,,,,,,,,,,21090,,,,,,,,,,,1,,,8,2,1,,,,,,,,,,,,,,
3647,2018.0,39010,1,3,"1,3,4",2.0,0.0,486238.53211009176,,5.0,1,30,12,26,"1,2,6","3,8","2,1,5",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,39010,,,,,,,,,,,3,8,,2,1,5,1.0,3.0,4.0,,,,,,,,,,,
3648,2018.0,38070,1,2,1,3.0,0.0,150000.0,,4.0,2,31,1,26,"1,2,6,11,15",1,"3,14,2",3,3.0,,,1.0,1.0,,,,1.0,,,,,1.0,,,1.0,,,38070,,,,,,,,,,,1,,,3,14,2,1.0,1.0,,,,,,,,,,,,
3649,2018.0,38050,1,1,11,3.0,0.0,100000.0,,4.0,1,23,1,26,"2,5,6,15",6,"2,11,1",3,3.0,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,38050,,,,,,,,,,,6,,,2,11,1,11.0,,,,,,,,,,,,,
3650,2018.0,38100,1,0,0,4.0,0.0,50000.0,,4.0,1,42,1,26,"1,2,3",1,"14,5,3",3,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,38100,,,,,,,,,,,1,,,14,5,3,,,,,,,,,,,,,,
3651,2018.0,32350,1,2,1,3.0,0.0,300000.0,,4.0,1,61,1,26,6,1,"2,14,3",1,1.0,,,,,,,,1.0,,,,,,,,,,,32350,,,,,,,,,,,1,,,2,14,3,1.0,1.0,,,,,,,,,,,,
3652,2018.0,38050,1,1,1,6.0,0.0,80000.0,,4.0,1,70,3,26,"1,6",6,"6,14,11",3,3.0,,,1.0,,,,,1.0,,,,,,,,,,,38050,,,,,,,,,,,6,,,6,14,11,1.0,,,,,,,,,,,,,
3653,2018.0,38400,1,0,0,20.0,0.0,60000.0,,4.0,2,50,3,26,"1,4",7,"1,2,11",4,4.0,,,1.0,,,1.0,,,,,,,,,,,,,38400,,,,,,,,,,,7,,,1,2,11,,,,,,,,,,,,,,
3654,2018.0,37020,1,1,1,4.0,2.0,52500.0,,4.0,2,36,3,26,"1,6",1,"3,6,4",1,1.0,,,1.0,,,,,1.0,,,,,,,,,,,37020,,,,,,,,,,,1,,,3,6,4,1.0,,,,,,,,,,,,,
