,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship
12634,2020,35310,1,0,,4,0,50000,12500,4,1,68,1,13,1,1,"3,1,14",3
12637,2020,35020,1,0,,3,1,100002,33334,4,1,39,1,13,1,1,"4,3,2",1
12639,2020,"36,020,360,203,602,000,000,000,000,000,000,000",7,"1,0",3,4,1,267000,78750,5,1,36,2,13,"1,2,3,6",1,"8,1,5",1
12641,2020,"364,603,646,036,460",3,0,,5,0,342000,68400,5,2,71,2,13,"1,6,8,16",1,"8,11,2","1,2"
12642,2020,"360,103,601,036,010",3,0,,4,1,174000,43500,5,2,74,2,13,"1,2,9",1,"5,3,9",1
12643,2020,"363,103,631,036,310",3,0,,3,0,167997,55999,4,1,19,3,13,"1,6,16","1,10","1,8,14",3
12644,2020,"3,501,035,010",2,0,,2,0,103000,51500,4,2,71,3,13,"1,6",1,"4,11",1
12647,2020,"360,203,602,036,020",3,0,,4,0,232000,58000,4,1,58,5,13,"1,2,6,17",1,"3,11,12",5
12648,2020,"3,504,035,050",2,"0,1",3,4,2,350000,87500,4,1,38,10,13,"1,2,6",1,"2,1",1
12649,2020,"3,534,035,380",2,"0,0",,4,2,200000,50000,4,2,48,10,13,"1,2",1,"2,4",1
12650,2020,"3,537,036,020",2,"0,1",3,4,2,400000,100000,4,2,38,10,13,"1,2,6",1,"2,1",1
12651,2020,35320,1,0,,2,0,150000,69000,4,1,54,10,13,"1,2",1,2,1
12652,2020,"3,536,035,380",2,"0,1",3,4,0,300000,75000,5,1,27,10,13,"1,6",1,2,3
12656,2020,"3,538,035,380",2,1,12,4,0,200000,52500,5,2,46,11,13,"1,2,6,8",1,"1,14,5",1
12657,2020,"3,538,035,380",2,0,,3,0,44000,44000,4,1,55,11,13,"1,2,4,6",1,"2,5,4",1
12658,2020,35330,1,0,,3,0,51000,51000,5,2,43,11,13,"1,2,6,8",1,"1,14,2",3
12659,2020,"37,010,370,103,701,000,000",4,1,1,3,1,322999,129833,5,1,43,11,13,"1,2,5,6,8",1,"8,2,11",1
12660,2020,"3,648,036,480",2,0,,4,0,54800,54800,5,1,67,11,13,"1,2,6",1,"8,2,5",3
12662,2020,38050,1,0,,4,0,315000,78750,4,2,17,12,13,"1,2,16",1,"5,14,12",1
12663,2020,36480,1,0,,2,0,180000,90000,5,1,54,12,13,"1,2,6,15",1,"11,2,14",1
12664,2020,24020,1,0,,4,0,375000,93750,5,1,35,12,13,"2,6,17",1,"4,2,5",4
12665,2020,24010,1,0,,2,0,144000,72000,5,2,54,12,13,"1,6",1,"5,1,2",4
12666,2020,32040,1,0,,4,0,550000,137500,5,1,22,12,13,"1,6",1,"2,5,14",3
12667,2020,24020,1,0,,3,0,378003,126001,5,1,53,12,13,"1,6,17",1,"4,5,11",3
12668,2020,35050,1,0,,2,0,150000,75000,4,2,53,6,13,"1,2",1,2,1
12669,2020,35050,1,1,3,4,2,300000,75000,4,2,48,6,13,"1,6",1,"2,4",1
12670,2020,35330,1,0,,4,2,200000,50000,4,2,38,6,13,1,1,"2,1",1
12671,2020,35380,1,1,3,2,0,200000,100000,5,1,32,6,13,"1,6",1,"2,1",3
12675,2020,"3,603,036,030",2,0,,3,0,155001,51667,5,2,61,4,13,"1,2,5,6,16",1,"5,9,1",1
12678,2020,"3,538,035,380",2,0,,4,1,157000,39250,4,1,57,4,13,"1,2,6,16",1,"2,3,4",1
12679,2020,"38,090,380,903,633,000,000",4,"1,0",3,2,0,352000,190000,4,1,42,5,13,"1,5,6,17",1,"6,4,1",3
