,year,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,no_of_place,sleepnights_1,sleepnights_2,sleepnights_3,sleepnights_4,sleepnights_5,sleepnights_6,sleepnights_7,sleepnights_8,accommodation_1,accommodation_2,accommodation_3,number_of_ppl,number_of_children,cost_total_trip,satisfied,sex,age,month,living_area,transportation1,transportation2,transportation3,reason1,reason2,reason3,relationship1,relationship2,relationship3,target
101,2018,36400,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,2,0,192090,4,1,39,11,11,1,0,0,5,2,1,1,0,0,"힐링,호캉스"
102,2018,31250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,35000,4,1,52,11,11,1,0,0,9,2,4,1,0,0,"힐링,호캉스"
103,2018,31090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,50000,4,2,27,11,11,1,0,0,11,2,0,3,0,0,"힐링,호캉스"
104,2018,31270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,50000,4,2,54,11,11,1,0,0,2,5,0,1,0,0,"힐링,호캉스"
105,2018,23050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,30000,4,2,49,10,11,1,0,0,4,9,0,1,0,0,엑티비티
106,2018,38350,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4,0,181069,4,1,52,12,11,1,0,0,11,2,0,3,0,0,"힐링,호캉스"
107,2018,36400,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4,0,139510,4,1,48,12,11,1,0,0,5,1,8,1,0,0,"힐링,호캉스"
108,2018,23010,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,57500,4,1,25,12,11,1,0,0,9,2,0,3,0,0,"힐링,호캉스"
109,2018,34080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,48235,4,1,77,7,11,1,0,0,3,0,0,3,0,0,엑티비티
110,2018,34380,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,2,0,145161,4,2,60,7,11,1,0,0,14,4,0,1,0,0,"힐링,호캉스"
111,2018,31370,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,13846,3,1,62,7,11,7,0,0,4,11,0,5,0,0,엑티비티
112,2018,36010,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4,2,129310,4,2,37,9,11,1,0,0,5,6,3,1,0,0,"힐링,호캉스"
113,2018,37420,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,1,4,0,140625,4,2,62,9,11,1,0,0,11,2,0,1,0,0,"힐링,호캉스"
114,2018,31370,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,90476,4,1,23,9,11,1,0,0,14,4,0,3,0,0,"힐링,호캉스"
115,2018,23010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,40000,4,2,47,4,11,1,0,0,11,8,4,3,0,0,"식도락,맛집투어"
116,2018,34030,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4,1,92233,4,2,46,12,11,1,0,0,2,1,5,1,0,0,"힐링,호캉스"
117,2018,32390,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,143959,4,2,62,12,11,1,0,0,5,2,0,1,0,0,"힐링,호캉스"
118,2018,36010,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,2,0,195121,4,1,37,12,11,1,0,0,5,8,0,1,0,0,"힐링,호캉스"
119,2018,31030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,45000,4,2,73,6,11,1,0,0,8,4,0,3,0,0,"식도락,맛집투어"
120,2018,31070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,73000,5,2,48,7,11,1,0,0,1,8,2,3,0,0,"식도락,맛집투어"
121,2018,37010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,68750,4,1,38,12,11,1,0,0,5,11,2,1,0,0,"힐링,호캉스"
122,2018,36020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,50000,4,2,65,4,11,1,0,0,12,2,8,3,0,0,"힐링,호캉스"
123,2018,31370,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,70000,4,2,36,11,11,1,0,0,1,5,0,1,0,0,"힐링,호캉스"
124,2018,31250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,81666,5,1,55,2,11,1,0,0,4,1,0,1,0,0,"힐링,호캉스"
125,2018,32390,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,35000,4,1,47,5,11,7,8,0,1,11,0,5,0,0,"힐링,호캉스"
126,2018,31200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,50000,4,1,60,10,11,1,0,0,4,10,0,1,0,0,"식도락,맛집투어"
127,2018,32410,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4,0,50000,4,2,54,12,11,1,0,0,8,9,1,1,0,0,"식도락,맛집투어"
128,2018,36020,34040,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,11,0,4,0,100000,4,1,51,12,11,1,0,0,11,12,1,1,0,0,"힐링,호캉스"
129,2018,31180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,38095,4,1,77,10,11,6,0,0,4,5,2,3,0,0,"힐링,호캉스"
130,2018,31190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,82307,4,2,37,6,11,1,0,0,14,10,12,1,0,0,엑티비티
131,2018,36020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,146000,4,1,43,2,21,4,1,0,11,5,4,3,0,0,"힐링,호캉스"
