,place_info,area,target
319,천왕사,강원도 원주시,"힐링, 호캉스"
320,문수암,충청남도 논산시,"힐링, 호캉스"
321,옥산사,경상북도 안동시,"힐링, 호캉스"
322,대한불교진각종,대구광역시 달서구,"힐링, 호캉스"
323,로마공예,경기도 화성시,"식도락, 맛집투어"
324,연화사,대전광역시 동구,"힐링, 호캉스"
325,중흥사포교원,서울특별시 서초구,"힐링, 호캉스"
326,금강선원,대전광역시 서구,"힐링, 호캉스"
327,심화사,충청북도 제천시,"힐링, 호캉스"
328,약사암,경기도 동두천시,"힐링, 호캉스"
329,정각암,전라남도 장흥군,"힐링, 호캉스"
330,서광사,광주광역시 동구,"힐링, 호캉스"
331,보리정사,경기도 안양시,"힐링, 호캉스"
332,용운사,충청북도 충주시,"힐링, 호캉스"
333,천지암,경상남도 창원시,"힐링, 호캉스"
334,천용사,광주광역시 동구,"힐링, 호캉스"
335,심선사,경상남도 함양군,"힐링, 호캉스"
336,삼밀사,부산광역시 영도구,"힐링, 호캉스"
337,무애암,경기도 부천시,"힐링, 호캉스"
338,성불사,전라북도 익산시,"힐링, 호캉스"
339,불지사,서울특별시 강서구,"힐링, 호캉스"
340,금주사,경상북도 칠곡군,"힐링, 호캉스"
341,만덕사,대구광역시 서구,"힐링, 호캉스"
342,성진사,경상남도 창원시,"힐링, 호캉스"
343,프리티선물코너,울산광역시 동구,"식도락, 맛집투어"
344,청량사,인천광역시 연수구,"힐링, 호캉스"
345,옴니포교원,광주광역시 동구,"힐링, 호캉스"
346,선운암,경상남도 산청군,"힐링, 호캉스"
347,밀행사,경상남도 밀양시,"힐링, 호캉스"
348,약진사,경기도 용인시,"힐링, 호캉스"
349,용광사,경기도 이천시,"힐링, 호캉스"
350,극락사,충청남도 금산군,"힐링, 호캉스"
351,서래암,경상남도 창원시,"힐링, 호캉스"
352,성정사,강원도 강릉시,"힐링, 호캉스"
353,용화선원,강원도 인제군,"힐링, 호캉스"
354,죽사,충청남도 서산시,"힐링, 호캉스"
355,법륜사,서울특별시 종로구,"힐링, 호캉스"
356,칠성사절,경기도 이천시,"힐링, 호캉스"
357,보리사,충청북도 보은군,"힐링, 호캉스"
358,개운사,부산광역시 해운대구,"힐링, 호캉스"
359,관음사,경상남도 창원시,"힐링, 호캉스"
360,묘덕사,전라남도 장흥군,"힐링, 호캉스"
361,금정사,경상남도 하동군,"힐링, 호캉스"
362,대성사,부산광역시 서구,"힐링, 호캉스"
363,연화사,충청남도 논산시,"힐링, 호캉스"
364,보덕암,경상남도 밀양시,"힐링, 호캉스"
365,원오사,부산광역시 해운대구,"힐링, 호캉스"
366,대명사,충청남도 금산군,"힐링, 호캉스"
367,쌍암사,경상북도 안동시,"힐링, 호캉스"
368,금다래산머루,경기도 안성시,"힐링, 호캉스"
369,용지사,경상남도 함안군,"힐링, 호캉스"
370,불광총림,경상북도 영양군,"힐링, 호캉스"
371,용봉사,전라북도 김제시,"힐링, 호캉스"
372,고씨굴농특산물판매장,강원도 영월군,"식도락, 맛집투어"
